row_type,training_seed,controller_id,comparison_id,step_size,baseline_raw_score_mean,baseline_normalized_score_mean,adapted_raw_score_mean,adapted_normalized_score_mean,adapted_minus_baseline_normalized_mean,mean,sample_std_ddof1,t95_low,t95_high,bootstrap95_low,bootstrap95_high,positive_episode_count,n_episode_pairs,base_actor_rows_total,q1_forward_rows_total,q1_backward_rows_total,q1_backward_calls_total,adapted_environment_steps,adapted_wall_time_seconds,path,sha256,size_bytes,roles
controller_score,1,nominal_tuned,,0.1,510.73642903509943,11.090043741368156,1109.1341996927583,24.125126667164096,13.035082925795937,,,,,,,,,18359,293744,293744,36718,18359,107.47179886698723,/root/hubl_research_20260914/results/equal_compute_nominal_control/holdout/nominal_tuned_seed1_fresh50.json,8ababfa7389b67ebfd0fb4827e799880b97e71be2e08b7c15b1811018f299f40,,
controller_score,1,nominal_matched_eta_0.3,,0.3,510.73642903509943,11.090043741368156,832.4492747071668,18.098013736009566,7.007969994641412,,,,,,,,,14814,237024,237024,29628,14814,86.177710613003,/root/hubl_research_20260914/results/equal_compute_nominal_control/holdout/nominal_matched_eta_0.3_seed1_fresh50.json,7e733cb667c6ae80f85a7353fcf5b28ad048a1de0b5107186795a08d1788a4e5,,
controller_score,1,calibrated_identity_eta_0.3,,0.3,510.73642903509943,11.090043741368156,1124.7047835149206,24.464305489808893,13.37426174844074,,,,,,,,,19205,307280,307280,38410,19205,144.8707688919967,/root/hubl_research_20260914/results/equal_compute_nominal_control/holdout/calibrated_identity_eta_0.3_seed1_fresh50.json,5a123d8cadffb7b47c77069482262ab82b9e7bbaded1da8b329ba4559247e8fe,,
controller_score,1,complete_calibrated_inverse_eta_0.1,,0.1,1038.3260072087273,22.58269000360388,1477.2873303488873,32.144719691750176,9.56202968814629,,,,,,,,,22982,367712,367712,45964,22982,207.91510068799835,/root/hubl_research_20260914/results/equal_compute_nominal_control/holdout/complete_calibrated_inverse_eta_0.1_seed1_fresh50.json,a962af60ee972428b67ac4ae91fdb619399ab04394aeebf37804570c12670cdc,,
controller_score,10,nominal_tuned,,0.1,499.04712609465275,10.835412055481335,844.7062824777569,18.36501191104651,7.5295998555651735,,,,,,,,,14351,229616,229616,28702,14351,84.2950341120013,/root/hubl_research_20260914/results/equal_compute_nominal_control/holdout/nominal_tuned_seed10_fresh50.json,4f35cedf07cd7af5ebdbcb4bdd7d8a69a6eab46fb77b0a62ea50987fe914a1b3,,
controller_score,10,nominal_matched_eta_0.3,,0.3,499.04712609465275,10.835412055481335,825.5588225204724,17.94791689398577,7.112504838504437,,,,,,,,,14420,230720,230720,28840,14420,82.34301744500408,/root/hubl_research_20260914/results/equal_compute_nominal_control/holdout/nominal_matched_eta_0.3_seed10_fresh50.json,6f10f56aeda12c847bc6ff0d934cba8e4aaa5b02f0f5bf08d92d004e5860b1ed,,
controller_score,10,calibrated_identity_eta_0.3,,0.3,499.04712609465275,10.835412055481335,1149.023938150712,24.994057124769693,14.158645069288358,,,,,,,,,19189,307024,307024,38378,19189,134.5390530329896,/root/hubl_research_20260914/results/equal_compute_nominal_control/holdout/calibrated_identity_eta_0.3_seed10_fresh50.json,2dd7a42d4b54f76f09e7b22856d8c2a663524c653020016977ea569c2f9e05cd,,
controller_score,10,complete_calibrated_inverse_eta_0.1,,0.1,1017.4332677908839,22.127577026563,1468.97833591572,31.96372230710538,9.836145280542386,,,,,,,,,22913,366608,366608,45826,22913,207.00739235704532,/root/hubl_research_20260914/results/equal_compute_nominal_control/holdout/complete_calibrated_inverse_eta_0.1_seed10_fresh50.json,553b7ff3bfca058be2f15684222fa4a2a101357c5f8e04e503596089fbae3dd6,,
paired_comparison,1,,complete_minus_nominal_tuned,,,,,,,8.01959302458608,21.662408203773413,1.8632047306087731,14.175981318563386,2.011863879105819,13.962747865951101,33,50,,,,,,,,,,
paired_comparison,10,,complete_minus_nominal_tuned,,,,,,,13.598710396058873,23.501962852322478,6.919526455451369,20.277894336666378,7.141191432742752,20.196524987574495,34,50,,,,,,,,,,
paired_comparison,1,,complete_minus_nominal_matched_eta_0.3,,,,,,,14.046705955740608,17.537139825919173,9.062705962825447,19.03070594865577,9.33168571877729,19.016504513018166,41,50,,,,,,,,,,
paired_comparison,10,,complete_minus_nominal_matched_eta_0.3,,,,,,,14.015805413119608,22.107473342296952,7.73293100628314,20.298679819956078,8.109989428252133,20.21880938953335,36,50,,,,,,,,,,
paired_comparison,1,,complete_minus_calibrated_identity_eta_0.3,,,,,,,7.680414201941273,17.57902678866963,2.6845100659261654,12.676318337956381,2.877539139926093,12.515176452589902,33,50,,,,,,,,,,
paired_comparison,10,,complete_minus_calibrated_identity_eta_0.3,,,,,,,6.969665182335686,25.69598877111374,-0.33305402526842354,14.272384389939795,-0.01713988924583857,13.926844582439982,30,50,,,,,,,,,,
paired_comparison,1,,calibrated_identity_minus_nominal_tuned,,,,,,,0.3391788226448043,18.476880912961434,-4.911892632187906,5.590250277477515,-4.757674267192003,5.400341389273463,31,50,,,,,,,,,,
paired_comparison,10,,calibrated_identity_minus_nominal_tuned,,,,,,,6.629045213723186,18.961401123218195,1.240274638711374,12.017815788735,1.465839030011866,11.835639669380237,35,50,,,,,,,,,,
paired_comparison,1,,calibrated_identity_minus_nominal_matched_eta_0.3,,,,,,,6.36629175379933,15.431220328052637,1.9807874601049846,10.751796047493675,2.1497443983893567,10.611990908403955,39,50,,,,,,,,,,
paired_comparison,10,,calibrated_identity_minus_nominal_matched_eta_0.3,,,,,,,7.046140230783923,19.376428283301326,1.5394202419311611,12.552860219636685,1.7682659063901471,12.426237286532846,34,50,,,,,,,,,,
input_file,,,,,,,,,,,,,,,,,,,,,,,,/root/hubl_research_20260914/code/equal_compute_nominal_control_protocol.json,fc8fb274f283cd32ef6d45d8a944bff9cdb6757f3927816af9b8a9f17d7cf034,8609,launch_frozen_protocol
input_file,,,,,,,,,,,,,,,,,,,,,,,,/root/hubl_research_20260914/code/evaluate_channel_opex.py,cf659f47fddd8f848c84f5f114be1fcb9081a55470fe59e8c073d4f84af0bff1,37240,raw_evaluator_dependency:evaluate_channel_opex.py
input_file,,,,,,,,,,,,,,,,,,,,,,,,/root/hubl_research_20260914/code/evaluation_controls.py,24318269a6696fd22c8112b2d96913bdceb830d83de9df31ca234e1505f1aec9,8507,raw_evaluator_dependency:evaluation_controls.py
input_file,,,,,,,,,,,,,,,,,,,,,,,,/root/hubl_research_20260914/code/inverse_residual_core.py,5700efa8bbefac91c991a76878c3b78c5b3e84aea83568987f7a7e8919e50041,23777,raw_evaluator_dependency:inverse_residual_core.py
