row_type,evidence_label,run_id,method_id,training_seed,observed_status,source_kind,raw_schema,checkpoint_sha256,evaluation_id,arm,episode_count,return_mean,normalized_score_mean,actuator_clip_fraction,command_at_bound_fraction,inverse_saturation_fraction,proposed_residual_abs_mean,applied_residual_abs_mean,total_environment_steps,evaluation_base_actor_forward_rows,evaluation_adapter_mlp_forward_rows,evaluation_controller_cost_scope,training_wall_time_seconds,training_wall_time_scope,training_invocation_count,training_preprocessing_seconds_this_invocation,training_preprocessing_time_scope,training_preprocessing_seconds_lifetime,training_preprocessing_seconds_lifetime_available,training_optimizer_seconds,training_optimizer_time_scope,training_q1_input_rows,training_base_actor_precompute_rows_per_invocation,training_base_actor_precompute_rows_lifetime,training_q_scale_q1_forward_rows_per_invocation,training_q_scale_q1_forward_rows_lifetime,training_optimizer_q1_forward_rows_lifetime,training_optimizer_q1_backward_rows_lifetime,training_optimizer_adapter_mlp_forward_rows_lifetime,training_optimizer_adapter_mlp_backward_rows_lifetime,training_total_q1_forward_rows_lifetime,training_frozen_q_scale,training_q_scale_method,training_resume_scope,evaluation_wall_time_seconds,evaluation_wall_time_scope,external_environment_steps,external_baseline_environment_steps,external_paired_evaluation_environment_steps,external_q1_forward_rows,external_q1_backward_rows,external_base_actor_rows,external_baseline_base_actor_rows,external_deployment_wall_time_seconds,external_baseline_wall_time_seconds,external_paired_evaluation_wall_time_seconds,external_cost_scope,audit_id,audit_noise_samples,audit_action_noise_beta,audit_physical_action_rows,audit_individual_critic_network_rows,audit_q1_gain_mean,audit_q1_gain_median,audit_q2_gain_mean,audit_q2_gain_median,audit_min_twin_gain_mean,audit_min_twin_gain_median,audit_baseline_twin_disagreement_mean,audit_baseline_twin_disagreement_median,audit_adapted_twin_disagreement_mean,audit_adapted_twin_disagreement_median,audit_twin_disagreement_change_mean,audit_twin_disagreement_change_median,audit_command_saturation_fraction,audit_proposed_residual_abs_mean,audit_proposed_residual_abs_median,comparison_id,comparison_group_id,is_primary_confirmation_comparison,target,reference,episode_pairs,positive_pairs,raw_mean_difference,raw_t_95ci_low,raw_t_95ci_high,raw_bootstrap_95ci_low,raw_bootstrap_95ci_high,normalized_mean_difference,normalized_t_95ci_low,normalized_t_95ci_high,normalized_bootstrap_95ci_low,normalized_bootstrap_95ci_high,statistical_unit,n_training_seeds,training_seeds,per_training_seed_values,descriptive_return_mean_across_training_seeds,descriptive_normalized_score_mean_across_training_seeds,descriptive_raw_mean_difference_across_training_seeds,descriptive_normalized_mean_difference_across_training_seeds,training_seed_confidence_interval,episode_returns_pooled_for_training_seed_inference,checkpoint_seeds,n_checkpoint_pipelines,per_checkpoint_mean_differences,mean_of_checkpoint_mean_differences,positive_checkpoint_count,training_seed_ci,inference_note,equivalence_check_id,equivalence_semantics,equivalence_episode_count,equivalence_status,equivalence_endpoints
evaluation_arm,confirmation,inverse_p001_k8_u5k_seed10,inverse_sampled_main,10,complete,,,,confirm_clean,baseline_only,50,3315.2810063449683,72.18230197980975,0.0,0.2776354101672758,0.2776354101672758,0.0,0.0,44876,44876,0,per_rollout_arm_raw_length_derived,50.896609721006826,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,10.048528306011576,latest_invocation_only_not_lifetime,10.048528306011576,True,36.814080939628184,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.35328483581543,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,292.819891600986,paired_evaluation_total_only_not_attributable_to_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_audit,confirmation,inverse_p001_k8_u5k_seed10,inverse_sampled_main,10,complete,,,,,,,,,,,,,,,,,,50.896609721006826,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,10.048528306011576,latest_invocation_only_not_lifetime,10.048528306011576,True,36.814080939628184,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.35328483581543,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,,,,,,,,,,,,,,heldout_k64,64,1.25,12807680,25615360,0.2500434883420998,0.18109512329101562,0.21177896308300706,0.14297103881835938,0.23514712824177741,0.1671600341796875,0.7288181938347895,0.5519371032714844,0.7203463887615238,0.5398330688476562,-0.008471805073191303,-0.007464408874511719,0.23005196881870876,0.12370939344390956,0.11441274359822273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
training_run,confirmation,identity_p001_k8_u5k_seed1,direct_sampled_main,1,complete,,,,,,,,,,,,,,,,,,39.237937860016245,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,0.20488952100276947,latest_invocation_only_not_lifetime,0.20488952100276947,True,35.11449602484936,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.197418212890625,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation_arm,confirmation,identity_p001_k8_u5k_seed1,direct_sampled_main,1,complete,,,,confirm_beta125,adapted,50,1086.279512588752,23.627275979457767,0.34912299994501567,0.13544473158483167,0.0,0.16100817896495068,0.148461171649298,18187,18187,18187,per_rollout_arm_raw_length_derived,39.237937860016245,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,0.20488952100276947,latest_invocation_only_not_lifetime,0.20488952100276947,True,35.11449602484936,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.197418212890625,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,34.47175523999613,paired_evaluation_total_only_not_attributable_to_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation_arm,confirmation,identity_p001_k8_u5k_seed1,direct_sampled_main,1,complete,,,,confirm_beta125,baseline_only,50,574.4708492634068,12.478390245384126,0.320330861032262,0.0,0.0,0.0,0.0,10921,10921,0,per_rollout_arm_raw_length_derived,39.237937860016245,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,0.20488952100276947,latest_invocation_only_not_lifetime,0.20488952100276947,True,35.11449602484936,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.197418212890625,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,34.47175523999613,paired_evaluation_total_only_not_attributable_to_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation_arm,confirmation,identity_p001_k8_u5k_seed1,direct_sampled_main,1,complete,,,,confirm_clean,adapted,50,3757.4093464269667,81.81331977334102,0.0,0.10039666666666666,0.0,0.1790709373218538,0.17034502052377715,50000,50000,50000,per_rollout_arm_raw_length_derived,39.237937860016245,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,0.20488952100276947,latest_invocation_only_not_lifetime,0.20488952100276947,True,35.11449602484936,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.197418212890625,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,111.95280284102773,paired_evaluation_total_only_not_attributable_to_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation_arm,confirmation,identity_p001_k8_u5k_seed1,direct_sampled_main,1,complete,,,,confirm_clean,baseline_only,50,3651.130162963943,79.49820758934368,0.0,0.0,0.0,0.0,0.0,47675,47675,0,per_rollout_arm_raw_length_derived,39.237937860016245,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,0.20488952100276947,latest_invocation_only_not_lifetime,0.20488952100276947,True,35.11449602484936,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.197418212890625,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,111.95280284102773,paired_evaluation_total_only_not_attributable_to_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_audit,confirmation,identity_p001_k8_u5k_seed1,direct_sampled_main,1,complete,,,,,,,,,,,,,,,,,,39.237937860016245,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,0.20488952100276947,latest_invocation_only_not_lifetime,0.20488952100276947,True,35.11449602484936,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.197418212890625,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,,,,,,,,,,,,,,heldout_k64,64,1.25,12807680,25615360,0.379173440517243,0.315338134765625,0.3548935026775352,0.2869529724121094,0.36312968978040666,0.29814720153808594,0.675694712003916,0.4953269958496094,0.6835022756383463,0.49729490280151367,0.00780756363443034,0.0006170272827148438,0.09326404157505497,0.15566078001482214,0.16738015413284302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
training_run,confirmation,identity_p001_k8_u5k_seed10,direct_sampled_main,10,complete,,,,,,,,,,,,,,,,,,40.70879689097637,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,0.20632543397368863,latest_invocation_only_not_lifetime,0.20632543397368863,True,36.51109299756354,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.32056427001953,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation_arm,confirmation,identity_p001_k8_u5k_seed10,direct_sampled_main,10,complete,,,,confirm_beta125,adapted,50,809.2230150009526,17.592068967876763,0.34630531290276384,0.13479163683230702,0.0,0.15855400901275474,0.14666803741871737,13966,13966,13966,per_rollout_arm_raw_length_derived,40.70879689097637,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,0.20632543397368863,latest_invocation_only_not_lifetime,0.20632543397368863,True,36.51109299756354,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.32056427001953,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,28.399936651985627,paired_evaluation_total_only_not_attributable_to_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
