nohup: ignoring input
2026-09-14T18:39:55Z run_id=identity_wide_p064_d2_k8_u5k_seed10 stage=evaluation_confirm_beta125 status=started
2026-09-14T18:40:25Z run_id=identity_wide_p064_d2_k8_u5k_seed10 stage=evaluation_confirm_beta125 status=completed
2026-09-14T18:40:25Z run_id=identity_wide_p064_d2_k8_u5k_seed10 stage=heldout_audit_k64 status=started
2026-09-14T18:40:30Z run_id=identity_wide_p064_d2_k8_u5k_seed10 stage=heldout_audit_k64 status=completed
2026-09-14T18:40:30Z run_id=identity_nominal_beta0_p064_d2_k8_u5k_seed10 stage=training status=started
2026-09-14T18:41:12Z run_id=identity_nominal_beta0_p064_d2_k8_u5k_seed10 stage=training status=completed
2026-09-14T18:41:12Z run_id=identity_nominal_beta0_p064_d2_k8_u5k_seed10 stage=evaluation_confirm_beta125 status=started
2026-09-14T18:41:41Z run_id=identity_nominal_beta0_p064_d2_k8_u5k_seed10 stage=evaluation_confirm_beta125 status=completed
2026-09-14T18:41:41Z run_id=identity_nominal_beta0_p064_d2_k8_u5k_seed10 stage=heldout_audit_k64 status=started
2026-09-14T18:41:47Z run_id=identity_nominal_beta0_p064_d2_k8_u5k_seed10 stage=heldout_audit_k64 status=completed
2026-09-14T18:41:47Z run_id=driver stage=confirmation_block status=completed
Frozen inverse-residual confirmation block completed in /root/hubl_research_20260914/results/inverse_residual_confirm.
