comparison_id,training_seed,mean,sample_std_ddof1,t95_low,t95_high,bootstrap95_low,bootstrap95_high,positive_episode_count,n_episode_pairs
complete_minus_nominal_tuned,1,8.01959302458608,21.662408203773413,1.8632047306087731,14.175981318563386,2.011863879105819,13.962747865951101,33,50
complete_minus_nominal_tuned,10,13.598710396058873,23.501962852322478,6.919526455451369,20.277894336666378,7.141191432742752,20.196524987574495,34,50
complete_minus_nominal_matched_eta_0.3,1,14.046705955740608,17.537139825919173,9.062705962825447,19.03070594865577,9.33168571877729,19.016504513018166,41,50
complete_minus_nominal_matched_eta_0.3,10,14.015805413119608,22.107473342296952,7.73293100628314,20.298679819956078,8.109989428252133,20.21880938953335,36,50
complete_minus_calibrated_identity_eta_0.3,1,7.680414201941273,17.57902678866963,2.6845100659261654,12.676318337956381,2.877539139926093,12.515176452589902,33,50
complete_minus_calibrated_identity_eta_0.3,10,6.969665182335686,25.69598877111374,-0.33305402526842354,14.272384389939795,-0.01713988924583857,13.926844582439982,30,50
calibrated_identity_minus_nominal_tuned,1,0.3391788226448043,18.476880912961434,-4.911892632187906,5.590250277477515,-4.757674267192003,5.400341389273463,31,50
calibrated_identity_minus_nominal_tuned,10,6.629045213723186,18.961401123218195,1.240274638711374,12.017815788735,1.465839030011866,11.835639669380237,35,50
calibrated_identity_minus_nominal_matched_eta_0.3,1,6.36629175379933,15.431220328052637,1.9807874601049846,10.751796047493675,2.1497443983893567,10.611990908403955,39,50
calibrated_identity_minus_nominal_matched_eta_0.3,10,7.046140230783923,19.376428283301326,1.5394202419311611,12.552860219636685,1.7682659063901471,12.426237286532846,34,50
